,Unnamed: 0,url,label,index
0,0,http://1337x.to/torrent/1048648/American-Sniper-2014-MD-iTALiAN-DVDSCR-X264-BST-MT/,0,0
3,3,http://1337x.to/torrent/1124395/Fast-and-Furious-7-2015-HD-TS-XVID-AC3-HQ-Hive-CM8/,0,3
5,5,http://1337x.to/torrent/1160078/Avengers-age-of-Ultron-2015-HQ-CAM-H264-AC3-MURD3R/,0,5
6,6,http://1337x.to/torrent/294349/American-Idol-S11E04-Auditions-4-HDTV-XviD-FQM-ettv/,0,6
7,7,http://189.cn/dqmh/userCenter/myOrderInfoList.do?method=listMyOrderInfo_new&isVs=no,0,7
8,8,http://2gis.ru/moscow/search/%D0%9F%D0%BE%D0%B5%D1%81%D1%82%D1%8C/tab/firms/zoom/11,0,8
10,10,http://abc.go.com/shows/the-muppets/video/new-abc-comedy-trailers?cid=abchp_muppets,0,10
12,12,http://adultfriendfinder.com/css/live_cd/ffadult/english/0/font_face-1427390957.css,0,12
14,14,http://allegro.pl/amadeus-quartet-haydn-string-quartets-collectors-i5207998383.html,0,14
15,15,http://allegro.pl/narzedzia-i-sprzet-warsztatowy-18554?ref=simplified-category-tree,0,15
17,17,http://allegro.pl/sexy-g-string-stringi-z-koralikami-must-have-uni-i5039087215.html,0,17
19,19,http://allegro.pl/sporty-towarzyskie-i-rekreacja-13408?ref=simplified-category-tree,0,19
20,20,http://allegro.pl/triumph-miss-sexy-allday-string-stringi-36-s-bez-i4855636396.html,0,20
21,21,http://allegro.pl/triumph-stringi-exquisite-essence-string-stal-38-i5073330901.html,0,21
22,22,http://allegro.pl/wyszczuplajace-body-string-pod-biust-jony-srebra-i5124700240.html,0,22
23,23,http://allrecipes.com/Features/Menu-Planner-2.aspx?lnkid=arm1001&soid=toprightmerch,0,23
27,27,http://allrecipes.com/Recipe/Midwest-Salisbury-Steak/Detail.aspx?soid=recs_recipe_9,0,27
28,28,http://allrecipes.com/Recipe/One-Pan-Orecchiette-Pasta/Detail.aspx?soid=home_pins_2,0,28
29,29,http://allrecipes.com/Recipe/Pesto-Chicken/Detail.aspx?evt19=1&referringHubId=15041,0,29
30,30,http://allrecipes.com/video/466/parmesan-cheese-twists/detail.aspx?prop24=VH_Brands,0,30
31,31,http://allrecipes.com/video/4989/cinnamon-roll-waffles/detail.aspx?prop24=VH_Newest,0,31
32,32,http://allrecipes.com/video/700/sangria-sangria/detail.aspx?prop24=VH_FeaturedVideo,0,32
33,33,http://anandtech.com/show/9199/lg-announces-the-g4-5-5-inch-qhd-with-snapdragon-808,0,33
34,34,http://ap.org/Content/AP-In-The-News/2012/Edwin-Q-White-former-AP-Saigon-chief-dies,0,34
